tgv_ref,cible_ref,cible_intitule,relation,justification
S06.16,12.05,Implement automated alerting for critical security events,recoupement_partiel,"S06.16 déclenché une alerte configurable après cinq échecs d'authentification (alerte de sécurité automatisée, cas de 12.05), mais sa fonction première est la désactivation automatique de l'identifiant (verrouillage, hors périmètre d'alerte); recouvrement partiel, d'où intersect et non subset."
S06.18,11.09,Require unique user IDs for all accounts (no shared accounts),tgv_plus_etroit,S06.18 interdit tout compte générique dans l'application (volet 'pas de comptes partages'); 11.09 exige des ID uniques pour tous les comptes sur tous les systèmes. Plus étroit en portée et sur le seul volet interdiction -> subset.
S06.19,11.08,Implement session timeout for inactive sessions,tgv_plus_etroit,S06.19 impose la déconnexion automatique après inactivité au sein de l'application; 11.08 vise l'expiration des sessions inactives de façon générale. Mécanisme identique mais portée TGV limitée à l'application. Correction equal -> subset.
S06.22,11.07,Log and monitor all privileged access activity,recoupement_partiel,S06.22 journalise toute connexion et toute modification de profil/privilège (couvre la trace des changements de privilèges) mais pas explicitement la surveillance; 11.07 exige journaliser ET surveiller les accès privilégiés. Recouvrement partiel -> intersect.
S06.23,08.05,Monitor network traffic for anomalies and potential threats,recoupement_partiel,"S06.23 impose la surveillance et la détection de tentatives de connexion anormales (credential stuffing/dictionnaire) avec alerte et mitigation; la détection de connexions anormales est une forme de surveillance des menaces couverte par 08.05. Intersect: S06.23 ne vise qu'un type de menace (tentatives de connexion) alors que 08.05 couvre l'ensemble du trafic réseau, et S06.23 ajoute la mitigation qui déborde le simple monitoring de 08.05."
S06.23,12.04,Monitor logs for security events and anomalies in near-real-time,recoupement_partiel,S06.23 surveille et détecte le credential stuffing et les attaques par dictionnaire et alerte sur les connexions anormales: classe précise d'événements surveillée (plus étroite que 12.04) mais qui ajoute l'alerte; recouvrement partiel.
S06.25,12.01,Enable audit logging on all in-scope systems and applications,tgv_plus_etroit,"S06.25 ne journalise que les accès au PST exposé sur Internet, cas étroit et spécifique strictement inclus dans l'activation générale de la journalisation exigée par 12.01 sur l'ensemble des systèmes et applications."
S07.01,02.06,Encrypt all endpoint hard drives (full-disk encryption),recoupement_partiel,"S07.01 exige le chiffrement des données sensibles (RP/RSSS) au repos; 02.06 exige le chiffrement intégral des disques des postes. Intention commune: protéger la confidentialité des données au repos par chiffrement, avec recouvrement réel sur les données sensibles stockées sur les postes. Aucun n'inclut l'autre — S07.01 est centre-données (tout emplacement, tout mécanisme, y compris chiffrement applicatif), 02.06 est centre-périphérique (disque entier du poste, quelle que soit la sensibilité). Intersect confirme."
S07.01,03.02,"Encrypt all data on portable media (USB drives, external hard drives, tapes)",recoupement_partiel,"RELATION CORRIGÉE (superset -> intersect). 03.02 impose de chiffrer TOUTES les données (sensibles ou non) présentes sur support amovible; S07.01 n'impose le chiffrement que des données SENSIBLES, mais partout (au repos et en transit). Recouvrement réel sur les données sensibles au repos sur support amovible, mais aucun n'inclut l'autre: 03.02 vise aussi les données non sensibles sur support amovible, S07.01 vise aussi le stockage non amovible. Donc intersect, pas superset."
S07.01,03.07,Prohibit storage of unencrypted PHI/sensitive data on portable media,tgv_plus_large,"S07.01 impose le chiffrement de l'ensemble des données sensibles, dont les renseignements personnels et de santé, lors de l'entreposage. Cette obligation interdit de fait tout stockage non chiffré de ces données, y compris sur support amovible (03.07). S07.01 couvre tous les emplacements de stockage, donc est strictement plus large que la version restreinte aux supports amovibles. Superset défendable, avec preuve explicite du chiffrement."
S07.01,04.02,Enforce device encryption on all mobile devices accessing organizational data,recoupement_partiel,"S07.01 vise le chiffrement au repos des données sensibles sur tous les systèmes; 04.02 vise le chiffrement complet des seuls appareils mobiles. Recouvrement sur les données sensibles stockées sur mobile, sans que l'un englobe l'autre: intersect correct."
S07.01,09.01,Encrypt all sensitive data in transit using TLS 1.2 or higher,tgv_plus_large,"S07.01 impose le chiffrement de TOUTES les données sensibles (RP/RPS) à la fois à l'entreposage ET en communication. L'intention de 09.01 (chiffrer les données sensibles en transit, TLS 1.2+) est entièrement incluse dans S07.01, qui la déborde par le chiffrement au repos. La spécification TLS 1.2+ n'est qu'un détail d'implémentation de la même intention. Superset confirme."
S07.02,09.01,Encrypt all sensitive data in transit using TLS 1.2 or higher,recoupement_partiel,"Correction: superset est faux. S07.02 se limite aux communications ENTRE composantes de l'application et couvre tout trafic inter-composante, même non sensible; 09.01 vise toute donnée sensible en transit, y compris vers des points hors composantes (navigateur client, systèmes externes) que S07.02 n'atteint pas. Recouvrement réel sur les données sensibles inter-composantes, mais aucun n'inclut totalement l'autre -> intersect."
S08.01,09.02,Implement certificate management processes for all TLS certificates,recoupement_partiel,"Correction: superset est faux. S08.01 documente la gestion de TOUTES les clés sur leur cycle de vie (plus large que les seuls certificats TLS), mais 09.02 exige des processus de gestion de certificats (émission via AC, chaînes/ancres de confiance, validation, révocation) qui débordent la gestion documentaire des clés. Recouvrement fort sur le cycle de vie du matériel cryptographique, sans inclusion totale de part et d'autre -> intersect."
S09.01,02.07,Enforce automatic screen lock after a defined period of inactivity,recoupement_partiel,"Le volet 'écran vide' de S09.01 partage l'intention de 02.07: ne pas laisser un poste non surveillé exposer de l'information, le verrouillage de l'écran étant le moyen commun. S09.01 couvre en plus le bureau propre (documents physiques) et reste une politique sans imposer l'automatisme technique; 02.07 impose le verrouillage automatique après inactivité. Aucun n'inclut l'autre. Intersect confirme."
S09.01,04.03,"Require screen lock with PIN, password, or biometric authentication",recoupement_partiel,"La politique d'écran vide impose de verrouiller les écrans laissés sans surveillance (intention comportementale du verrouillage d'écran), mais reste au niveau politique, couvre aussi bureaux/documents et ne prescrit pas l'authentification PIN/biométrie au niveau de l'appareil. Recouvrement partiel: intersect correct."
S09.07,06.03,Document and enforce a change management process with approval workflows,tgv_plus_etroit,"Le processus documenté de gestion des changements de l'application relève directement de l'intention du 06.03 (processus de change management avec approbations). Relation corrigée equal -> subset: le critère est limité à 'votre application' et n'exige explicitement que la documentation, alors que 06.03 couvre l'ensemble des systèmes et impose en plus l'application effective (enforce) et des workflows d'approbation. Le TGV est donc strictement inclus dans le 06.03."
S09.07,06.10,"Document all changes with justification, approval, and rollback procedures",tgv_plus_large,"Un processus documenté de gestion des changements englobe la documentation de chaque changement avec justification, approbation et procédure de retour arrière, plus les éléments de gouvernance (rôles, workflow, revue) absents du 06.10. Il est donc plus large que les seuls artefacts par-changement du 06.10. Superset défendable."
S09.09,02.02,Enforce automatic operating system and application patching,recoupement_partiel,"S09.09 exige un programme continu de gestion des vulnérabilités dont la remédiation par correctifs est la sortie principale; 02.02 automatisé le patching OS/apps des postes. Recouvrement substantiel et reconnu sur la remédiation par correctifs (pas un simple mot-clé). S09.09 est plus large (identification, priorisation, remédiation) sans exiger l'automatisme; 02.02 est plus spécifique (automatisation, postes). Intersect confirme."
S09.09,07.01,Conduct vulnerability scans on all in-scope systems at least quarterly,tgv_plus_large,"Un plan de gestion continue des vulnérabilités intègre nécessairement la détection périodique (balayages) comme mécanisme de base; il couvre l'intention du scan trimestriel tout en étant plus large (identification, évaluation, remédiation, suivi). Portée TGV plus large que le seul balayage -> superset."
S09.09,07.07,Track and report vulnerability remediation metrics,recoupement_partiel,"La gestion continue des vulnérabilités impliqué intrinsèquement le suivi de l'état de remédiation des vulnérabilités, recoupant le suivi/rapport de 07.07; ce dernier ajoute toutefois l'exigence explicite de métriques et de reporting non garantie par le seul plan. Recouvrement partiel -> intersect."
S09.09,07.10,Document risk acceptance for vulnerabilities that cannot be immediately remediated,recoupement_partiel,"Le plan de gestion continue traite les vulnérabilités non immédiatement corrigeables (atténuation/acceptation), recoupant la documentation d'acceptation du risque de 07.10; celui-ci exige spécifiquement la documentation formelle de l'acceptation, non explicitement garantie par le plan. Recouvrement partiel -> intersect."
S09.10,02.02,Enforce automatic operating system and application patching,recoupement_partiel,"S09.10 impose l'application prompte des correctifs de sécurité à toutes les composantes; 02.02 exige un patching automatique OS/applications des postes. Intention commune réelle: maintenir les systèmes corrigés contre les vulnérabilités connues. Aucun n'inclut totalement l'autre — S09.10 est plus large en portée (toutes composantes, pas seulement les postes) mais n'exige pas l'automatisation, tandis que 02.02 impose l'automatisme mais se limite aux postes/OS/apps. Intersect confirme."
S09.10,07.03,Remediate critical vulnerabilities within 15 days of discovery,tgv_plus_large,"L'application des correctifs de sécurité à toute composante dans les meilleurs délais couvre la remédiation des vulnérabilités critiques (le correctif en est le moyen principal) et va au-delà: toutes sévérités, sans le seuil précis de 15 jours. Portée TGV plus large -> superset."
S09.10,07.04,Remediate high vulnerabilities within 30 days of discovery,tgv_plus_large,"Même critère de patch prompt appliqué à toute composante: couvre la remédiation des vulnérabilités elevees et l'excède (toutes sévérités, pas de seuil de 30 jours). Portée TGV plus large -> superset."
S09.10,07.09,Implement a process for emergency/out-of-band patching,tgv_plus_large,Appliquer les correctifs dans les meilleurs délais à toute composante englobe le correctif d'urgence/hors bande (cas particulier de patch prompt) tout en couvrant l'ensemble du patching de sécurité. Portée TGV plus large -> superset.
S09.11,05.07,Document wireless network architecture and security configurations,tgv_plus_large,S09.11 exige de documenter l'ensemble des composantes de l'application ET de son environnement — documentation exhaustive qui englobe l'architecture et la configuration du réseau sans fil. 05.07 ne vise que le volet sans-fil. Le critère TGV englobe et dépasse le contrôle.
S10.04,11.07,Log and monitor all privileged access activity,recoupement_partiel,"S10.04 exige la journalisation de toute activité de l'application (incl. administration) -- plus large que les seuls accès privilégiés -- mais se limite à journaliser, sans la composante surveillance de 11.07. Aucun n'inclut totalement l'autre. Correction superset -> intersect."
S10.04,12.01,Enable audit logging on all in-scope systems and applications,recoupement_partiel,"S10.04 impose de journaliser toute activité de l'application (pilote/admin inclus), donc active la journalisation pour un des systèmes visés par 12.01, mais reste limité à l'application et déborde vers le contenu du journal (acteur/moment/nature); ni l'un ni l'autre ne se contient totalement."
S10.04,12.07,"Include the following in audit logs: user ID, timestamp, event type, success/failure, source",recoupement_partiel,"S10.04 exige d'identifier l'acteur, le moment et la nature de l'activité (proche de userID, horodatage, type d'événement) mais omet le succès/échec et la source, et ajoute 'informations concernées'; recouvrement partiel des champs requis par 12.07."
S10.05,12.02,Collect logs centrally using a SIEM or log management platform,recoupement_partiel,"S10.05 permet de filtrer/analyser les journaux et de les extraire en format standard vers un système tiers, ce qui alimente une collecte centrale/SIEM sans l'imposer; recouvrement partiel (S10.05 ajoute l'analyse, 12.02 impose la centralisation)."
S10.06,12.04,Monitor logs for security events and anomalies in near-real-time,recoupement_partiel,S10.06 détecte les comportements anormaux et incidents de sécurité potentiels (recoupe la surveillance des anomalies de 12.04) mais ajoute la fonction d'alerte; ni inclusion totale ni portée identique.
S10.06,12.05,Implement automated alerting for critical security events,recoupement_partiel,"S10.06 signale par alerte aux pilotes les incidents de sécurité potentiels, recoupant l'alerte automatisée sur événements critiques de 12.05; S10.06 vise aussi des comportements anormaux plus larges tandis que 12.05 insiste sur l'automatisation et la criticité."
S10.07,05.05,Implement wireless intrusion detection/prevention systems (WIDS/WIPS),recoupement_partiel,"Recouvrement réel sur la détection d'intrusion. S10.07 impose des systèmes de détection d'intrusion pour l'application et son environnement; 05.05 vise un WIDS/WIPS spécialisé (points d'accès pirates, attaques RF, avec volet prévention). Un IDS applicatif générique ne garantit pas la surveillance RF/anti-rogue, et le WIDS/WIPS ne couvre pas l'application: aucun n'inclut totalement l'autre."
S10.07,08.04,Implement intrusion detection/prevention systems (IDS/IPS),tgv_plus_etroit,"S10.07 impose explicitement des systèmes de détection d'intrusion (IDS) sur l'application et son environnement. 08.04 couvre à la fois la détection (IDS) et la prévention (IPS). L'exigence TGV est donc strictement incluse dans le contrôle HITRUST: subset. Correspondance spécifique et solide, non générique."
S10.07,12.04,Monitor logs for security events and anomalies in near-real-time,recoupement_partiel,"S10.07 dote l'application et son environnement de systèmes de détection d'intrusion, mécanisme de détection d'événements de sécurité en quasi temps réel qui recoupe 12.04; l'IDS n'étant pas strictement une surveillance des journaux, le recouvrement reste partiel."
S10.08,12.08,Review audit logs regularly (daily for critical systems),recoupement_partiel,"S10.08 fournit un rôle de type auditeur permettant de consulter les rapports d'audit, capacité qui outille la revue des journaux de 12.08 sans en imposer la régularité ni la fréquence; recouvrement partiel entre une capacité (TGV) et un processus de revue (HITRUST)."
S10.09,12.06,"Protect log integrity (write-once storage, checksums, access controls)",equivalent,"S10.09 protège l'information journalisée contre l'altération (intégrité) et la divulgation non autorisée (contrôle d'accès), portée équivalente à la protection de l'intégrité et des accès aux journaux visée par 12.06."
S11.01,12.03,Define log retention periods meeting regulatory requirements (minimum 1 year),equivalent,"S11.01 impose de conserver les journaux selon le calendrier fixe par les lois/normes applicables, portée équivalente à la définition de périodes de rétention conformes aux exigences réglementaires visée par 12.03."
S11.02,09.01,Encrypt all sensitive data in transit using TLS 1.2 or higher,tgv_plus_large,"S11.02 protège TOUTES les communications entre l'application et les composantes avec qui elle interagit (interne ET externe, incl. soutien à distance) via des mécanismes de sécurité en transit. Contrairement à S07.02, sa portée externe couvre aussi les canaux transportant des données sensibles vers l'extérieur visés par 09.01; le chiffrement des données sensibles en transit y est donc inclus, et S11.02 le déborde (toutes communications, pas seulement sensibles). Superset défendable."
S11.02,09.04,"Use SFTP, SCP, or HTTPS for all file transfers containing sensitive data",tgv_plus_large,"S11.02 exige d'assurer la sécurité des informations qui transitent sur toutes les communications de l'application et de ses interlocuteurs, ce qui englobe les transferts de fichiers contenant des données sensibles visés par 09.04. 09.04 (transfert de fichiers via SFTP/SCP/HTTPS) n'est qu'un cas particulier de l'exigence plus large de protection en transit de S11.02. Superset défendable."
S11.03,05.01,Segment wireless networks from production/sensitive networks,recoupement_partiel,"Recouvrement réel sur le principe de segmentation/cloisonnement pour isoler les zones moins fiables des zones sensibles. S11.03 cloisonne les tiers d'exécution applicatifs (zone d'accès public vs zone serveur); 05.01 isole spécifiquement le segment sans fil de la production. Le Wi-Fi constitue un cas de zone 'accès public', d'où l'overlap, mais S11.03 ne vise pas le sans-fil et 05.01 ne couvre pas le tierage applicatif: aucun n'inclut totalement l'autre."
S11.03,08.01,Implement network segmentation between security zones,recoupement_partiel,"S11.03 impose de cloisonner l'environnement d'exécution de l'application en zones distinctes (zone publique, zone serveur), ce qui correspond conceptuellement à la segmentation en zones de sécurité de 08.01. Recouvrement réel sur l'isolation par zones, mais S11.03 vise le périmètre applicatif (pouvant reposer sur conteneurs/processus au-delà du réseau) tandis que 08.01 vise la segmentation réseau globale: aucun n'englobe totalement l'autre, d'où intersect."
S11.04,09.05,Implement email encryption for messages containing PHI or sensitive data,tgv_plus_large,"S11.04 interdit tout traitement d'information confidentielle par courriel sauf mécanismes de protection appropriés, dont le chiffrement. Le chiffrement des courriels sensibles/PHI exigé par 09.05 est précisément l'un de ces mécanismes; S11.04 le déborde en offrant aussi l'option de ne pas transmettre d'information confidentielle et en couvrant toute information confidentielle. Superset défendable."
S11.05,13.03,Conduct phishing simulation exercises at least quarterly,equivalent,"S11.05 planifie en continu des campagnes de simulation d'hameçonnage (l'annotation confirme qu'elles servent à 'former et sensibiliser'). Équivalent direct des exercices de simulation d'hameçonnage récurrents (au moins trimestriels) de 13.03: même objet, cadence récurrente compatible ('en continu' >= trimestriel) -> equal. Paire la plus solide."
S11.05,13.09,"Include training on social engineering, physical security, and clean desk policies",recoupement_partiel,"Les simulations d'hameçonnage de S11.05 développent la vigilance à l'ingénierie sociale, thème explicitement nommé par 13.09 (l'hameçonnage est le vecteur canonique d'ingénierie sociale, donc lien nommé et non générique). Recouvrement partiel seulement: S11.05 (méthode de simulation, hameçonnage) ne couvre ni la sécurité physique ni la politique du bureau propre, et 13.09 (contenu de formation) ne couvre pas la dimension exercice/test. Aucun n'inclut l'autre -> intersect. Défendable."
