tgv_ref,cible_ref,cible_intitule,relation,justification
P10.03,164.308(a)(1),Implementation Specification (Required),recoupement_partiel,Les mesures de sécurité protégeant les renseignements personnels de santé sur tout leur cycle de vie alimentent l'exigence de mesures réduisant les risques à un niveau raisonnable (164.308(a)(1)(ii)(B)).
P10.04,164.312(b),5. Implement the Audit/System Activity Review Process,recoupement_partiel,La journalisation de toute activité relative à chaque renseignement personnel sur son cycle de vie alimente la mise en oeuvre des contrôles d'audit sur les systèmes contenant des ePHI (164.312(b)).
P10.05,164.308(a)(1),Implementation Specification (Required),recoupement_partiel,La protection adéquate des renseignements personnels lors de leur archivage constitue une mesure de sécurité réduisant les risques pesant sur les ePHI stockés (164.308(a)(1)(ii)(B)).
P10.06,164.310(d),Implementation Specification (Required),recoupement_partiel,Le mécanisme de destruction des renseignements personnels à l'accomplissement de la finalité alimente les politiques de disposition finale des ePHI et des supports (164.310(d)(2)(i)).
P10.08,164.310(d),1. Implement Methods for the Final Disposal of ePHI,recoupement_partiel,La destruction irréversible incluant toutes les copies alimente l'exigence que les ePHI éliminés soient correctement détruits et ne puissent être recréés (164.310(d)(2)(i)).
P11.03,164.308(a)(4),2. Implement Policies and Procedures for Authorizing Access,recoupement_partiel,La minimisation des personnes à qui les renseignements sont divulgués alimente les politiques d'octroi d'accès restreignant l'accès aux ePHI au besoin d'affaires (164.308(a)(4)(ii)(B)).
P11.08,164.312(e)(1),2. Develop and Implement Transmission Security Policy and Procedures,recoupement_partiel,Le contrôle des extractions et communications de renseignements avec mesures de confidentialité alimente les exigences formelles de transmission sécurisée des ePHI (164.312(e)).
P11.10,164.312(a),3. Ensure that All System Users Have Been Assigned a Unique Identifier,recoupement_partiel,La capacité de savoir quand et par qui chaque renseignement a été utilisé alimente l'exigence de traçabilité de l'activité système vers un utilisateur identifié de façon unique (164.312(a)(2)(i)).
P12.01,164.308(a)(6),1. Determine the Goals of Incident Response,recoupement_partiel,La définition de l'incident de confidentialité et la procédure de traitement associée alimentent la compréhension documentée de ce qui constitue un incident de sécurité (164.308(a)(6)).
P12.02,164.314(a),Implementation Specification (Required),recoupement_partiel,Les procédures de notification interne et externe des incidents de confidentialité alimentent l'obligation de déclarer les incidents et atteintes aux parties concernées (164.314(a)/164.410).
P12.03,164.308(a)(6),3. Develop and Implement Policy and Procedures to Respond to and Report Security Incidents,recoupement_partiel,Les mesures de prévention et de limitation des conséquences d'un incident de confidentialité alimentent l'exigence d'atténuer les effets nuisibles des incidents de sécurité (164.308(a)(6)(ii)).
P12.04,164.308(a)(6),4. Incorporate Post-Incident Analysis into Updates and Revisions,recoupement_partiel,Les mécanismes visant à réduire le préjudice et à éviter la récurrence des incidents alimentent l'analyse post-incident et l'amélioration des contrôles fondée sur les leçons apprises.
P12.05,164.308(a)(6),Implementation Specification (Required),recoupement_partiel,"Le plan de réponse aux incidents et les directives au personnel alimentent l'exigence d'identifier, de répondre, d'atténuer et de documenter les incidents de sécurité (164.308(a)(6)(ii))."
P12.06,164.314(a),Implementation Specification (Required),recoupement_partiel,Les mécanismes d'avis aux autorités et aux personnes concernées en cas de risque de préjudice sérieux alimentent l'obligation de déclaration des atteintes aux renseignements de santé (164.410).
P13.01,164.312(a),2. Identify Technical Access Control Capabilities,recoupement_partiel,Le cloisonnement des fichiers multi-clients constitue une segmentation technique limitant l'accès aux ePHI aux seules autorisations accordées (164.312(a)(1)).
P13.02,164.312(a),2. Identify Technical Access Control Capabilities,recoupement_partiel,Le cloisonnement des fichiers à finalités distinctes dans un entrepôt de données démontre des contrôles d'accès techniques et une segmentation des systèmes contenant des ePHI (164.312(a)(1)).
P14.01,164.308(a)(1),1. Identify all ePHI and Relevant Information Systems,recoupement_partiel,L'inventaire complet des renseignements personnels et de leurs lieux de stockage alimente l'identification des ePHI et des systèmes qui les hébergent.
P14.02,164.308(a)(1),1. Identify all ePHI and Relevant Information Systems,recoupement_partiel,"L'inventaire tenu à jour des renseignements personnels, y compris ceux des journaux, alimente l'identification continue des ePHI et de leurs emplacements dans les systèmes."
P14.03,164.312(a),2. Identify Technical Access Control Capabilities,recoupement_partiel,Le contrôle effectif de l'accès aux renseignements personnels conforme aux politiques alimente les contrôles d'accès techniques limitant l'accès aux ePHI (164.312(a)(1)).
P14.03,164.312(e)(1),2. Develop and Implement Transmission Security Policy and Procedures,recoupement_partiel,Le contrôle effectif des transferts de renseignements personnels alimente les exigences formelles de transmission sécurisée des ePHI (164.312(e)).
P14.04,164.312(e)(1),2. Develop and Implement Transmission Security Policy and Procedures,recoupement_partiel,Un processus clair de transfert de renseignements personnels à des tiers alimente l'établissement d'exigences et de méthodes formelles de transmission sécurisée des ePHI (164.312(e)).
P14.05,164.308(a)(6),3. Develop and Implement Policy and Procedures to Respond to and Report Security Incidents,recoupement_partiel,"La capacité d'identifier rapidement les données mises en cause lors d'un incident alimente la réponse, l'atténuation et la documentation des incidents de sécurité (164.308(a)(6)(ii))."
P15.01,164.310(d),Implementation Specification (Required),recoupement_partiel,"La politique documentée de conservation et de destruction des données personnelles alimente, pour son volet destruction, les politiques de disposition finale des ePHI (164.310(d)(2)(i))."
P15.04,164.316(b),4. Update Documentation as Required,recoupement_partiel,La révision régulière de la politique de données selon les changements législatifs et les meilleures pratiques alimente la revue et la mise à jour périodiques de la documentation (164.316(b)(2)(iii)).
P17.03,164.310(d),1. Implement Methods for the Final Disposal of ePHI,recoupement_partiel,Les processus spécifiques de destruction et d'anonymisation des renseignements personnels alimentent les méthodes documentées d'élimination définitive des ePHI (164.310(d)(2)(i)).
S01.01,164.308(a)(1),2. Conduct Risk Assessment,tgv_plus_etroit,L'évaluation des risques réalisée à la conception et avant la mise en production constitue une composante de l'évaluation des risques exigée par 164.308(a)(1)(ii)(A).
S01.02,164.308(a)(1),2. Conduct Risk Assessment,recoupement_partiel,La réévaluation périodique des risques alimente le programme de gestion des risques qui doit être exécuté à fréquence régulière.
S01.02,164.308(a)(1),3. Implement a Risk Management Program,tgv_plus_etroit,La réévaluation périodique des risques alimente le programme de gestion des risques qui doit être exécuté à fréquence régulière.
S01.03,164.308(a)(1),3. Implement a Risk Management Program,recoupement_partiel,"L'évaluation continue des risques approuvée par la direction réaffirme l'évaluation initiale, ce qui correspond au réexamen périodique exigé du programme de gestion des risques."
S01.03,164.308(a)(8),3. Conduct Evaluation,recoupement_partiel,L'évaluation des risques déclenchée par tout changement majeur alimente l'évaluation HIPAA exigée en réponse aux changements opérationnels ou environnementaux.
S02.01,164.316(a),1. Create and Deploy Policies and Procedures,tgv_plus_etroit,"Les politiques de sécurité (objectifs, principes, rôles, dérogations) font partie des politiques et procédures raisonnables et appropriées exigées par 164.316(a)."
S02.02,164.308(a)(1),5. Create and Deploy Policies and Procedures,tgv_plus_etroit,"Les normes, processus et procédures techniques mettant en œuvre les objectifs de sécurité correspondent au déploiement des politiques et procédures issues de la gestion des risques."
S02.03,164.316(a),2. Update the Documentation of the Policy and Procedures,recoupement_partiel,"L'approbation, la communication et le maintien à jour des politiques alimentent l'exigence de mise à jour documentée des politiques et procédures."
S02.04,164.308(a)(6),3. Develop and Implement Policy and Procedures to Respond to and Report Security Incidents,recoupement_partiel,La procédure à suivre en cas d'incident pour structurer une réponse efficiente alimente les politiques et procédures de réponse aux incidents de sécurité.
S02.04,164.310(b),2. Identify the Expected Performance of Each Type of Workstation and Device,recoupement_partiel,Le cadre de bonnes pratiques d'utilisation des outils informatiques alimente les politiques d'utilisation appropriée des postes et appareils.
S03.01,164.308(a)(3),2. Establish Clear Job Descriptions and Responsibilities,recoupement_partiel,La définition des responsabilités de sécurité dans l'organisation correspond à la définition des rôles et responsabilités avec niveaux de supervision de sécurité appropriés.
S03.02,164.308(a)(2),1. Select a Security Official to be Assigned Responsibility for HIPAA Security,recoupement_partiel,La désignation d'un responsable attitré de la sécurité de l'application et de ses actifs soutient l'identification d'un responsable de la sécurité.
S03.03,164.308(a)(3),2. Establish Clear Job Descriptions and Responsibilities,recoupement_partiel,"La séparation des tâches incompatibles soutient la définition écrite des rôles, responsabilités et niveaux d'accès appropriés par fonction."
S03.04,164.308(a)(1),3. Implement a Risk Management Program,recoupement_partiel,La méthode de gestion de projet identifiant et traitant les risques alimente le programme de gestion des risques visant à les réduire à un niveau acceptable.
S03.05,164.310(b),1. Identify Workstation and Device Types and Functions or Uses,recoupement_partiel,"La gestion des risques liés aux appareils mobiles alimente l'inventaire et les politiques par type d'appareil (tablettes, téléphones intelligents) exigés pour l'utilisation des postes."
S03.06,164.310(b),3. Analyze Physical Surroundings for Physical Attributes,recoupement_partiel,"La politique de télétravail couvre les risques de l'environnement physique des appareils hors des locaux, objet de l'analyse des attributs physiques de l'environnement."
S04.01,164.308(a)(3),3. Establish Criteria and Procedures for Hiring and Assigning Tasks,tgv_plus_etroit,"L'assurance que le personnel possède les compétences requises est incluse dans les critères d'embauche et d'assignation des tâches (connaissances, aptitudes, habiletés)."
S04.02,164.308(a)(5),5. Implement the Training,equivalent,"Le programme formel de sensibilisation et de formation couvrant tout le personnel, direction incluse, documente la stratégie et le plan de formation exigés par la démarche de 164.308(a)(5)."
S04.02,164.308(a)(5),2. Develop and Approve a Training Strategy and a Plan,recoupement_partiel,"Le programme formel de sensibilisation et de formation couvrant tout le personnel, direction incluse, documente la stratégie et le plan de formation exigés par la démarche de 164.308(a)(5)."
S04.03,164.308(a)(3),2. Establish Clear Job Descriptions and Responsibilities,recoupement_partiel,L'information du personnel et des contractants sur leurs responsabilités et procédures soutient la définition et la communication des rôles et responsabilités.
S04.04,164.308(a)(1),6. Develop and Implement a Sanction Policy,equivalent,L'approbation de sanctions appropriées pour le non-respect des politiques de sécurité correspond exactement à la politique de sanctions de 164.308(a)(1)(ii)(C).
S04.05,164.308(a)(3),5. Establish Termination Procedures,tgv_plus_etroit,Le rappel des obligations persistantes à la fin de l'emploi est une composante des procédures de fin d'emploi exigées par HIPAA.
S05.01,164.310(b),2. Identify the Expected Performance of Each Type of Workstation and Device,recoupement_partiel,Les conditions d'utilisation de l'application et de ses actifs alimentent les politiques d'utilisation et de fonctionnement appropriés des appareils traitant les données.
S05.04,164.308(a)(1),1. Identify all ePHI and Relevant Information Systems,recoupement_partiel,L'inventaire de l'application et des actifs permettant son exploitation soutient l'identification de tous les systèmes hébergeant des ePHI.
S05.05,164.308(a)(7),2. Conduct an Applications and Data Criticality Analysis,recoupement_partiel,"La classification des actifs en disponibilité, intégrité et confidentialité alimente l'analyse de criticité des applications et des données."
S05.06,164.308(a)(3),5. Establish Termination Procedures,tgv_plus_etroit,La restitution des actifs au terme du contrat est une composante des procédures de fin d'emploi incluant la récupération des dispositifs d'accès.
S05.07,164.310(d),3. Maintain Accountability for Hardware and Electronic Media,recoupement_partiel,L'encadrement de l'utilisation des supports amovibles selon la classification alimente la responsabilisation et le suivi des mouvements des supports électroniques.
S05.08,164.310(d),1. Implement Methods for the Final Disposal of ePHI,equivalent,La procédure formelle de mise au rebut sécurisée des supports correspond aux méthodes de disposition finale des ePHI et des supports exigées par 164.310(d)(2)(i).
S06.01,164.312(a),4. Develop Access Control Policy and Procedures,equivalent,La politique de gestion des accès applicable à l'ensemble des intervenants correspond à la politique formelle de contrôle d'accès exigée.
S06.02,164.308(a)(4),2. Implement Policies and Procedures for Authorizing Access,recoupement_partiel,Les règles de gestion des accès à l'application alimentent les procédures documentées d'octroi des accès aux ePHI.
S06.03,164.312(a),2. Identify Technical Access Control Capabilities,equivalent,Les mécanismes limitant les accès aux seules composantes et informations autorisées correspondent aux contrôles d'accès techniques limitant l'accès à ce qui a été octroyé.
S06.04,164.308(a)(4),3. Implement Policies and Procedures for Access Establishment and Modification,recoupement_partiel,"Les comptes dédiés aux privilèges élevés avec contrôle de l'octroi alimentent les normes d'établissement, de documentation et de modification des droits d'accès."
S06.05,164.308(a)(5),Implementation Specification (Password Management),recoupement_partiel,La gestion du niveau de complexité des mots de passe soutient la spécification de gestion des mots de passe (création et sauvegarde) de 164.308(a)(5)(ii)(D).
S06.06,164.312(d),3. Select and Implement Authentication Options,tgv_plus_etroit,L'obligation du MFA est une mise en œuvre des options d'authentification sélectionnées selon les résultats de l'analyse de risques.
S06.07,164.312(d),3. Select and Implement Authentication Options,tgv_plus_etroit,L'authentification par protocoles sécurisés modernes et fédération d'identités constitue une mise en œuvre des options d'authentification retenues.
S06.08,164.308(a)(5),Implementation Specification (Password Management),recoupement_partiel,La préservation de la confidentialité des mots de passe et l'absence de capture ou d'entreposage soutiennent la sauvegarde sécurisée des mots de passe.
S06.09,164.308(a)(5),Implementation Specification (Password Management),tgv_plus_etroit,La capacité de chaque utilisateur à changer son mot de passe met en œuvre les procédures de changement des mots de passe.
S06.10,164.312(d),1. Determine Authentication Applicability to Current Systems/Applications,recoupement_partiel,L'authentification des communications entre composantes couvre l'authentification d'entité aux points d'accès électroniques exigée par 164.312(d).
S06.11,164.308(a)(5),Implementation Specification (Password Management),tgv_plus_etroit,"L'absence de mots de passe dans les scripts, macros et code source est une mesure de sauvegarde sécurisée des mots de passe."
S06.12,164.312(a),6. Review and Update Access for Users and Processes,tgv_plus_etroit,Les fonctionnalités facilitant la revue des accès soutiennent la revue et la mise à jour continues des accès des utilisateurs et des processus.
S06.13,164.308(a)(4),2. Implement Policies and Procedures for Authorizing Access,tgv_plus_etroit,Les profils d'accès fondés sur les fonctionnalités attribuant les seuls accès nécessaires constituent une base de restriction d'accès conforme à l'octroi documenté des accès.
S06.14,164.308(a)(4),3. Implement Policies and Procedures for Access Establishment and Modification,tgv_plus_etroit,"Les fonctionnalités permettant à l'acquéreur de gérer aisément les accès soutiennent l'établissement, la revue et la modification des droits d'accès des utilisateurs."
S06.16,164.308(a)(5),Implementation Specification (Log-in Monitoring),tgv_plus_etroit,La désactivation automatique après cinq échecs de connexion avec alerte met en œuvre la surveillance des tentatives de connexion et le signalement des anomalies.
S06.18,164.312(a),3. Ensure that All System Users Have Been Assigned a Unique Identifier,equivalent,"L'interdiction des comptes génériques garantit un identifiant unique par utilisateur et la traçabilité des activités à une personne précise, exigence de 164.312(a)(2)(i)."
S06.19,164.312(a),Implementation Specification (Automatic Logoff),equivalent,La déconnexion automatique après un délai d'inactivité configurable correspond à la spécification de fermeture de session automatique de 164.312(a)(2)(iii).
S06.20,164.310(a),4. Develop Access Control and Validation Procedures,tgv_plus_etroit,La restriction de l'accès au code source met en œuvre le contrôle de l'accès aux programmes logiciels pour test et révision prévu par 164.310(a)(2)(iii).
S06.22,164.308(a)(5),Implementation Specification (Log-in Monitoring),recoupement_partiel,Le signalement au titulaire de toute connexion ou modification de profil soutient la surveillance des connexions et le signalement des anomalies.
S06.23,164.308(a)(5),Implementation Specification (Log-in Monitoring),tgv_plus_etroit,La détection et la mitigation du bourrage de justificatifs et des attaques par dictionnaire mettent en œuvre la surveillance des tentatives de connexion anormales.
S06.25,164.312(b),5. Implement the Audit/System Activity Review Process,tgv_plus_etroit,La journalisation des accès exposés sur Internet met en œuvre l'activation du système d'audit et le démarrage de la journalisation.
S07.01,164.312(a),Implementation Specification (Encryption and Decryption),tgv_plus_large,Le chiffrement des données sensibles à l'entreposage et en communication couvre et dépasse la spécification de chiffrement et déchiffrement au repos de 164.312(a)(2)(iv).
S07.01,164.312(e)(1),4. Implement Encryption,tgv_plus_large,Le chiffrement des données sensibles en communication couvre et dépasse le mécanisme de chiffrement des transmissions de 164.312(e)(2)(ii).
S07.02,164.312(e)(1),4. Implement Encryption,recoupement_partiel,Le chiffrement de toutes les communications entre composantes met en œuvre le chiffrement des ePHI en transmission lorsque approprié.
S08.01,164.312(a),Implementation Specification (Encryption and Decryption),recoupement_partiel,La documentation formelle de la gestion du cycle de vie des clés soutient la mise en œuvre fiable du mécanisme de chiffrement et déchiffrement.
S08.02,164.310(a),3. Develop a Facility Security Plan,tgv_plus_etroit,"Le contrôle d'accès et les mesures de protection physiques des locaux d'hébergement mettent en œuvre le plan de sécurité des installations contre l'accès non autorisé, le sabotage et le vol."
S08.03,164.310(a),4. Develop Access Control and Validation Procedures,tgv_plus_etroit,Le contrôle d'accès aux locaux des développeurs et du personnel de soutien met en œuvre les procédures de contrôle et de validation de l'accès aux installations selon le rôle.
S08.04,164.310(a),6. Maintain Maintenance Records,recoupement_partiel,L'entretien approprié du matériel d'hébergement alimente la documentation des réparations et modifications liées à la sécurité des composantes physiques.
S09.01,164.310(b),3. Analyze Physical Surroundings for Physical Attributes,tgv_plus_etroit,"La politique du bureau propre et de l'écran vide limite la consultation d'informations sensibles par des personnes non autorisées, objectif de l'analyse de l'environnement physique."
S09.02,164.316(b),"1. Draft, Maintain, and Update Required Documentation",recoupement_partiel,La documentation des procédures d'exploitation communiquée aux personnes concernées alimente la documentation exigée des contrôles opérationnels et techniques.
S09.04,164.316(b),3. Ensure that Documentation is Available to Those Responsible for Implementation,recoupement_partiel,"Le guide d'installation et d'entretien couvrant accès, surveillance et sauvegardes constitue la documentation mise à disposition des personnes responsables de la mise en œuvre."
S09.05,164.308(a)(7),Implementation Specification (Required),recoupement_partiel,Le système de sauvegarde à l'abri des rançongiciels garantit le maintien de copies exactes et récupérables des données exigé par le plan de sauvegarde.
S09.06,164.308(a)(7),5. Data Backup Plan and Disaster Recovery Plan,equivalent,Les stratégies de sauvegarde permettant une récupération complète ou partielle des données (métadonnées incluses) couvrent et dépassent la spécification exigée d'établir des procédures de restauration de toute perte de données.
S09.06,164.308(a)(7),Implementation Specification (Required),tgv_plus_large,Les stratégies de sauvegarde permettant une récupération complète ou partielle des données (métadonnées incluses) couvrent et dépassent la spécification exigée d'établir des procédures de restauration de toute perte de données.
S09.07,164.308(a)(8),3. Conduct Evaluation,recoupement_partiel,Le processus documenté de gestion des changements permet de déterminer les changements opérationnels affectant la sécurité et de déclencher les évaluations correspondantes.
S09.09,164.308(a)(1),3. Implement a Risk Management Program,tgv_plus_etroit,Le plan de gestion continue des vulnérabilités fait partie du programme de gestion des risques visant à réduire les vulnérabilités à un niveau raisonnable et approprié.
S09.10,164.308(a)(1),Implementation Specification (Required),tgv_plus_etroit,L'application des correctifs de sécurité dans les meilleurs délais est une mesure de sécurité réduisant les risques et vulnérabilités au sens de 164.308(a)(1)(ii)(B).
S09.11,164.308(a)(1),1. Identify all ePHI and Relevant Information Systems,recoupement_partiel,La documentation de l'ensemble des composantes de l'application et de son environnement soutient l'identification des systèmes pertinents traitant les données.
S09.12,164.312(a),2. Identify Technical Access Control Capabilities,recoupement_partiel,L'absence de porte dérobée garantit que l'accès reste limité aux seuls chemins autorisés par les contrôles d'accès techniques octroyés.
S10.01,164.308(a)(5),Implementation Specification (Protection from Malicious Software),tgv_plus_etroit,La protection antivirus récente avec EDR sur tous les systèmes met en œuvre la protection contre les logiciels malveillants de 164.308(a)(5)(ii)(B).
S10.02,164.308(a)(5),Implementation Specification (Protection from Malicious Software),recoupement_partiel,Les mécanismes de gestion des exceptions et d'alertes de la solution de protection soutiennent la détection et le signalement des logiciels malveillants.
S10.04,164.312(b),5. Implement the Audit/System Activity Review Process,equivalent,"La journalisation identifiant l'acteur, les circonstances, le moment, la nature de l'activité et les informations concernées détermine concrètement les activités à consigner, objet de la définition de la portée des contrôles d'audit."
S10.04,164.312(b),1. Determine the Activities that Will Be Tracked or Audited,recoupement_partiel,"La journalisation identifiant l'acteur, les circonstances, le moment, la nature de l'activité et les informations concernées détermine concrètement les activités à consigner, objet de la définition de la portée des contrôles d'audit."
S10.05,164.312(b),2. Select the Tools that Will Be Deployed for Auditing and System Activity Reviews,recoupement_partiel,"Les fonctionnalités de filtrage, d'analyse et d'extraction des journaux constituent les outils déployés pour l'audit et la revue de l'activité des systèmes."
S10.06,164.308(a)(6),3. Develop and Implement Policy and Procedures to Respond to and Report Security Incidents,recoupement_partiel,Les fonctionnalités d'alerte signalant les comportements anormaux et incidents potentiels soutiennent l'identification des incidents de sécurité suspectés ou connus.
S10.07,164.308(a)(6),3. Develop and Implement Policy and Procedures to Respond to and Report Security Incidents,tgv_plus_etroit,Les systèmes de détection d'intrusion mettent en œuvre la capacité d'identifier les incidents de sécurité suspectés exigée par 164.308(a)(6)(ii).
S10.08,164.308(a)(1),7. Develop and Deploy the Information System Activity Review Process,recoupement_partiel,Le rôle d'auditeur permettant la consultation des rapports d'audit facilite la revue régulière des journaux d'audit et rapports d'accès.
S11.01,164.316(b),2. Retain Documentation for at Least Six Years,recoupement_partiel,La conservation des journaux selon le calendrier légal et réglementaire alimente l'exigence de rétention des enregistrements des actions et activités documentées.
S11.02,164.312(e)(1),2. Develop and Implement Transmission Security Policy and Procedures,recoupement_partiel,"La protection de toutes les communications entre composantes, incluant le soutien à distance, met en œuvre la politique et les procédures de sécurité des transmissions."
S11.03,164.312(a),2. Identify Technical Access Control Capabilities,tgv_plus_etroit,Le cloisonnement de l'environnement d'exécution correspond à la segmentation réseau explicitement citée comme capacité de contrôle d'accès technique.
S11.04,164.312(e)(1),2. Develop and Implement Transmission Security Policy and Procedures,recoupement_partiel,L'encadrement du courrier électronique traitant de l'information confidentielle alimente les procédures de sécurité des transmissions de données sensibles.
S11.05,164.308(a)(5),6. Implement Security Reminders,tgv_plus_etroit,Les campagnes continues de simulation d'hameçonnage constituent des rappels de sécurité périodiques au personnel exigés par 164.308(a)(5)(ii)(A).
S11.06,164.312(e)(1),2. Develop and Implement Transmission Security Policy and Procedures,tgv_plus_etroit,L'assurance d'une connectivité sécuritaire met en œuvre les mesures techniques de sécurité des transmissions sur les réseaux de communication.
S12.01,164.308(a)(5),Implementation Specification (Protection from Malicious Software),tgv_plus_large,"Les thèmes imposés (hameçonnage, rançongiciels, ingénierie sociale) recoupent le développement de contenus de formation sur les sujets actuels et pertinents."
S12.01,164.308(a)(5),"4. Develop Appropriate Awareness and Training Content, Materials, and Methods",recoupement_partiel,"Les thèmes imposés (hameçonnage, rançongiciels, ingénierie sociale) recoupent le développement de contenus de formation sur les sujets actuels et pertinents."
S12.06,164.308(a)(3),1. Implement Policies and Procedures for Authorization and/or Supervision,recoupement_partiel,La supervision du développement externalisé met en œuvre l'autorisation et la supervision des membres du personnel et contractants travaillant avec les données.
S13.01,164.308(a)(1),Implementation Specification (Required),tgv_plus_etroit,La prise en compte et la mise à jour des composantes tierces vulnérables constituent des mesures de sécurité réduisant les vulnérabilités au sens de 164.308(a)(1)(ii)(B).
S13.02,164.308(a)(1),4. Acquire IT Systems and Services,recoupement_partiel,"L'évaluation des menaces, risques et facteurs de vie privée pour tout fournisseur tiers alimente la prise en compte des risques introduits par les services tiers."
S13.03,164.308(b)(1),1. Identify Entities that are Business Associates Under the HIPAA Security Rule,tgv_plus_large,La liste exhaustive des fournisseurs avec la nature des services couvre et dépasse l'identification des entités qui sont des partenaires commerciaux ayant accès aux données.
S13.04,164.314(a),1. Contract Must Provide that Business Associates Will Comply with the Applicable Requirements of the Security Rule,recoupement_partiel,"Les exigences définies par fournisseur (sécurité, accès, incidents) alimentent les clauses contractuelles imposant aux partenaires des garanties administratives, physiques et techniques."
