tgv_ref,cible_ref,cible_intitule,relation,justification
S04.02,BASIC_PR.AT-1.1,Employees shall be trained as appropriate.,equivalent,Le programme de sensibilisation et de formation à la sécurité pour tout le personnel correspond à la formation des employés.
S04.03,IMPORTANT_PR.IP-11.2,"Develop and maintain a human resource information/cyber security process that is applicable when recruiting, during employment and at termination of employment.",recoupement_partiel,Informer le personnel et les contractants de leurs responsabilités et procédures alimente le processus RH de sécurité applicable durant l'emploi.
S04.05,IMPORTANT_PR.IP-11.2,"Develop and maintain a human resource information/cyber security process that is applicable when recruiting, during employment and at termination of employment.",tgv_plus_etroit,Le rappel des obligations à l'issue de la relation d'emploi alimente le volet cessation d'emploi du processus RH de sécurité.
S05.04,BASIC_ID.AM-1.1,"An inventory of assets associated with information and information processing facilities within the organization shall be documented, reviewed, and updated when changes occur.",tgv_plus_etroit,L'inventaire des actifs permettant l'exploitation de l'application alimente l'inventaire documenté des actifs et installations de traitement.
S05.04,BASIC_ID.AM-2.1,"An inventory that reflects what software platforms and applications are being used in the organization shall be documented, reviewed, and updated when changes occur.",tgv_plus_etroit,L'inventaire de l'application alimente l'inventaire documenté des plateformes logicielles et applications utilisées.
S05.05,BASIC_ID.AM-5.1,"The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",tgv_plus_etroit,La classification de l'application et des actifs en DIC alimente la priorisation des ressources selon leur classification et valeur d'affaires.
S05.06,IMPORTANT_PR.DS-3.2,"The organization shall enforce accountability for all its business-critical assets throughout the system lifecycle, including removal, transfers, and disposition.",tgv_plus_etroit,La restitution des actifs au terme du contrat alimente la responsabilité des actifs tout au long du cycle de vie incluant transferts et cessions.
S05.07,IMPORTANT_PR.PT-2.1,The usage restriction of portable storage devices shall be ensured through an appropriate documented policy and supporting safeguards.,tgv_plus_etroit,L'encadrement des supports amovibles selon la classification de l'information alimente la restriction d'usage des supports portables par politique documentée.
S05.08,BASIC_PR.DS-3.1,Assets and media shall be disposed of safely.,tgv_plus_etroit,La procédure de mise au rebut sécurisée des supports d'information alimente l'élimination sécuritaire des actifs et supports.
S06.01,BASIC_PR.AC-4.1,[KEY MEASURE] Access permissions for users to the organization’s systems shall be defined and managed.,recoupement_partiel,La politique de gestion des accès de l'organisation alimente la définition et la gestion des permissions d'accès aux systèmes.
S06.02,BASIC_PR.AC-4.2,[KEY MEASURE] It shall be identified who should have access to the organization's business's critical information and technology and the means to get access.,tgv_plus_etroit,Les règles de gestion des accès à l'application alimentent l'identification de qui doit avoir accès et des moyens d'accès.
S06.03,BASIC_PR.AC-4.3,[KEY MEASURE] Employee access to data and information shall be limited to the systems and specific information they need to do their jobs (the principle of Least Privilege).,tgv_plus_etroit,Le contrôle limitant les accès aux seules composantes et informations spécifiquement autorisées alimente le principe du moindre privilège.
S06.04,IMPORTANT_PR.AC-4.7,Priviliged users shall be managed and monitored.,tgv_plus_etroit,Les activités à privilèges élevés réservées à des comptes dédiés et contrôlés alimentent la gestion et la surveillance des utilisateurs privilégiés.
S06.05,BASIC_PR.AC-1.1,[KEY MEASURE] Identities and credentials for authorized devices and users shall be managed.,tgv_plus_etroit,La gestion du niveau de complexité des mots de passe alimente la gestion des identifiants et justificatifs des utilisateurs autorisés.
S06.06,PR.AC-1.4,"For transactions within the organization's critical systems, the organization shall implement: • multi-factor end-user authentication (MFA or ""strong authentication""). • certificate-based authentication for system-to-system communications",tgv_plus_etroit,L'obligation d'authentification multifacteur (AMF) alimente l'exigence de MFA pour les transactions sur les systèmes critiques.
S06.07,BASIC_PR.AC-1.1,[KEY MEASURE] Identities and credentials for authorized devices and users shall be managed.,recoupement_partiel,Le mécanisme d'authentification par protocoles sécurisés modernes et fédérations d'identités alimente la gestion des identifiants et justificatifs.
S06.09,BASIC_PR.AC-1.1,[KEY MEASURE] Identities and credentials for authorized devices and users shall be managed.,tgv_plus_etroit,La capacité de chaque utilisateur à changer son mot de passe alimente la gestion du cycle de vie des justificatifs.
S06.10,PR.AC-6.2,"The organization shall ensure the use of unique credentials bound to each verified user, device, and process interacting with the organization's critical systems; make sure that they are authenticated, and that the unique identifiers are captured when performing system interactions.",recoupement_partiel,L'authentification des communications inter-composantes avec le minimum de privilèges alimente l'usage de justificatifs uniques authentifiés pour les processus et dispositifs.
S06.12,IMPORTANT_PR.AC-4.5,"Where feasible, automated mechanisms shall be implemented to support the management of user accounts on the organisation's critical systems, including disabling, monitoring, reporting and deleting user accounts.",recoupement_partiel,"Les fonctionnalités facilitant la revue des accès alimentent la gestion, la surveillance et le rapport des comptes utilisateurs."
S06.13,BASIC_PR.AC-4.1,[KEY MEASURE] Access permissions for users to the organization’s systems shall be defined and managed.,tgv_plus_etroit,La gestion des accès par profils basés sur les fonctionnalités attribuant les seuls accès nécessaires alimente la définition et gestion des permissions d'accès.
S06.16,PR.AC-1.5,The organization’s critical systems shall be monitored for atypical use of system credentials. Credentials associated with significant risk shall be disabled.,recoupement_partiel,La désactivation d'un identifiant après cinq échecs de connexion alimente la désactivation des justificatifs associés à un risque significatif.
S06.18,PR.AC-6.2,"The organization shall ensure the use of unique credentials bound to each verified user, device, and process interacting with the organization's critical systems; make sure that they are authenticated, and that the unique identifiers are captured when performing system interactions.",tgv_plus_etroit,L'absence de comptes génériques alimente l'exigence de justificatifs uniques liés à chaque utilisateur vérifié.
S06.19,PR.AC-1.3,System credentials shall be deactivated after a specified period of inactivity unless it would compromise the safe operation of (critical) processes.,recoupement_partiel,La déconnexion automatique d'une session après inactivité alimente la désactivation des justificatifs système après une période d'inactivité définie.
S06.23,PR.AC-1.5,The organization’s critical systems shall be monitored for atypical use of system credentials. Credentials associated with significant risk shall be disabled.,tgv_plus_etroit,La détection et mitigation des attaques par bourrage de justificatifs ou dictionnaire alimente la surveillance de l'usage atypique des justificatifs.
S07.01,PR.DS-1.1,The organization shall protect its critical system information determined to be critical/ sensitive while at rest.,recoupement_partiel,Le chiffrement des données sensibles lors de leur entreposage alimente la protection des informations critiques au repos.
S07.01,PR.DS-2.1,The organization shall protect its critical system information determined to be critical when in transit.,recoupement_partiel,Le chiffrement des données sensibles lors de leurs communications alimente la protection des informations critiques en transit.
S07.02,PR.DS-2.1,The organization shall protect its critical system information determined to be critical when in transit.,tgv_plus_etroit,Le chiffrement et l'authentification mutuelle des communications entre composantes alimentent la protection des informations en transit.
S08.02,BASIC_PR.AC-2.1,"Physical access to the facility, servers and network components shall be managed.",tgv_plus_etroit,"Le contrôle d'accès et les mesures de protection physiques des locaux d'hébergement alimentent la gestion de l'accès physique aux installations, serveurs et composants réseau."
S08.03,BASIC_PR.AC-2.1,"Physical access to the facility, servers and network components shall be managed.",recoupement_partiel,Le contrôle d'accès des locaux des développeurs et du personnel de maintenance alimente la gestion de l'accès physique aux installations.
S08.04,IMPORTANT_PR.MA-1.2,"The organization shall plan, perform and document preventive maintenance and repairs on its critical system components according to approved processes and tools.",tgv_plus_etroit,L'entretien approprié du matériel hébergeant l'application garantissant disponibilité et intégrité alimente la maintenance préventive documentée des composants critiques.
S09.05,BASIC_PR.IP-4.1,[KEY MEASURE] Backups for organization's business critical data shall be conducted and stored on a system different from the device on which the original data resides,tgv_plus_etroit,Le système de sauvegarde à l'abri des rançongiciels alimente la réalisation de sauvegardes stockées sur un système distinct de l'original.
S09.06,BASIC_PR.IP-4.1,[KEY MEASURE] Backups for organization's business critical data shall be conducted and stored on a system different from the device on which the original data resides,tgv_plus_etroit,Les stratégies de sauvegarde permettant une récupération complète ou partielle des données alimentent la réalisation de sauvegardes des données critiques.
S09.07,IMPORTANT_PR.IP-3.1,Changes shall be tested and validated before being implemented into operational systems.,tgv_plus_etroit,Le processus documenté de gestion des changements alimente le contrôle des changements testés et validés avant implémentation.
S09.09,IMPORTANT_PR.IP-12.1,The organization shall establish and maintain a documented process that allows continuous review of vulnerabilities and strategies to mitigate them.,equivalent,Le plan de gestion continue des vulnérabilités correspond au processus documenté permettant la revue continue des vulnérabilités et des stratégies de mitigation.
S09.09,IMPORTANT_RS.AN-5.1,"[KEY MEASURE] The organization shall implement vulnerability management processes and procedures that include processing, analyzing and remedying vulnerabilities from internal and external sources.",tgv_plus_etroit,"Le plan de gestion continue des vulnérabilités alimente les processus de traitement, d'analyse et de correction des vulnérabilités provenant de sources internes et externes (mesure clé)."
S09.10,BASIC_PR.MA-1.1,[KEY MEASURE] Patches and security updates for Operating Systems and critical system components shall be installed.,tgv_plus_etroit,L'application rapide des correctifs de sécurité de toute composante alimente l'installation des correctifs et mises à jour de sécurité.
S10.01,BASIC_DE.CM-3.1,End point and network protection tools to monitor end-user behavior for dangerous activity shall be implemented.,recoupement_partiel,La fonction EDR de la solution alimente les outils de protection des terminaux et du réseau surveillant les comportements dangereux.
S10.01,BASIC_DE.CM-4.1,"[KEY MEASURE] Anti-virus, -spyware, and other -malware programs shall be installed and updated.",tgv_plus_etroit,La solution de protection antivirus récente alimente l'installation et la mise à jour des programmes anti-virus et anti-malware.
S10.02,DE.CM-4.2,The organisation shall set up a system to detect false positives while detecting and eradicating malicious code.,recoupement_partiel,La gestion des exceptions de la solution anti-maliciel (listes d'exclusion) alimente le système de détection des faux positifs lors de la détection et de l'éradication du code malveillant.
S10.04,BASIC_PR.PT-1.1,"[KEY MEASURE] Logs shall be maintained, documented, and reviewed.",tgv_plus_etroit,"La journalisation de toute activité identifiant l'acteur, le moment et la nature de l'action alimente la tenue, la documentation et la revue des journaux."
S10.05,IMPORTANT_DE.AE-3.2,"The organization shall ensure that event data is compiled and correlated across its critical systems using various sources such as event reports, audit monitoring, network monitoring, physical access monitoring, and user/administrator reports.",recoupement_partiel,"Les fonctionnalités de filtrage, analyse et extraction des journaux alimentent la compilation et la corrélation des données d'événements provenant de sources multiples."
S10.06,IMPORTANT_DE.AE-5.1,The organization shall implement automated mechanisms and system generated alerts to support event detection and to assist in the identification of security alert thresholds.,tgv_plus_etroit,Les fonctionnalités d'alerte signalant comportements anormaux et incidents potentiels alimentent les mécanismes automatisés et alertes système pour la détection d'événements.
S10.07,DE.CM-1.3,The organization shall conduct ongoing security status monitoring of its network to detect defined information/cybersecurity events and indicators of potential information/cybersecurity events.,tgv_plus_etroit,Les systèmes de détection d'intrusion alimentent la surveillance continue de l'état de sécurité du réseau pour détecter les événements.
S11.02,PR.PT-4.3,"The organization shall manage the interface for external communication services by establishing a traffic flow policy, protecting the confidentiality and integrity of the information being transmitted; This includes the review and documenting of each exception to the traffic flow policy.",recoupement_partiel,La protection de toutes les communications entre composantes alimente la gestion de l'interface de communication protégeant la confidentialité et l'intégrité des informations transmises.
S11.03,BASIC_PR.AC-5.2,"[KEY MEASURE] Where appropriate, network integrity of the organization's critical systems shall be protected by incorporating network segmentation and segregation.",tgv_plus_etroit,Le cloisonnement de l'environnement d'exécution compartimentant les zones alimente la protection de l'intégrité réseau par segmentation et ségrégation.
S11.05,PR.AT-1.3,The organization shall implement an evaluation method to measure the effectiveness of the awareness trainings.,tgv_plus_etroit,Les campagnes continues de simulation d'hameçonnage alimentent la méthode d'évaluation de l'efficacité des formations de sensibilisation.
S12.01,BASIC_PR.AT-1.1,Employees shall be trained as appropriate.,tgv_plus_etroit,"Le plan de formation en cybersécurité sur les menaces numériques, hameçonnage et rançongiciels alimente la formation appropriée des employés."
S12.02,IMPORTANT_PR.IP-2.1,The system and application development life cycle shall include security considerations.,equivalent,La prise en compte de la sécurité à chaque étape du développement correspond à l'intégration des considérations de sécurité dans le cycle de développement.
S12.03,PR.DS-7.1,The development and test environment(s) shall be isolated from the production environment.,equivalent,"La séparation des environnements de développement, de test et d'exploitation correspond à l'isolation des environnements de développement et de test de la production."
S12.04,PR.IP-2.2,"The development process for critical systems and system components shall cover the full design cycle and shall provide a description of the functional properties of security controls, and design and implementation information for security-relevant system interfaces.",recoupement_partiel,Le respect des bonnes pratiques de l'industrie en matière de sécurité dans le développement alimente le processus de développement couvrant les contrôles de sécurité.
S12.05,IMPORTANT_PR.IP-2.1,The system and application development life cycle shall include security considerations.,tgv_plus_etroit,Le respect des principes d'ingénierie de sécurité par les développeurs alimente l'intégration de la sécurité dans le cycle de développement.
S12.06,IMPORTANT_PR.AT-3.3,The organization shall monitor business critical service providers and users for security compliance.,recoupement_partiel,La supervision de tout développement réalisé à l'externe alimente la surveillance de la conformité de sécurité des prestataires critiques.
S12.07,PR.DS-7.1,The development and test environment(s) shall be isolated from the production environment.,recoupement_partiel,L'évitement d'information confidentielle de production dans le développement alimente l'isolation de l'environnement de développement vis-à-vis de la production.
S12.08,IMPORTANT_PR.IP-3.1,Changes shall be tested and validated before being implemented into operational systems.,recoupement_partiel,La stratégie de tests applicatifs alimente les tests et la validation des changements avant leur implémentation en production.
S13.01,IMPORTANT_PR.IP-12.1,The organization shall establish and maintain a documented process that allows continuous review of vulnerabilities and strategies to mitigate them.,recoupement_partiel,La prise en compte des vulnérabilités des composantes tierces et les mises à jour associées alimentent le processus de gestion des vulnérabilités.
S13.02,IMPORTANT_ID.SC-2.1,"The organization shall conduct cyber supply chain risk assessments at least annually or when a change to the organization’s critical systems, operational environment, or supply chain occurs; These assessments shall be documented, and the results disseminated to relevant stakeholders including those responsible for ICT/OT systems.",tgv_plus_etroit,L'évaluation des menaces et des risques pour tout recours à un fournisseur tiers alimente les évaluations de risque de la chaîne d'approvisionnement.
S13.03,ID.SC-2.2,"A documented list of all the organization’s suppliers, vendors and partners who may be involved in a major incident shall be established, kept up-to-date and made available online and offline.",equivalent,La liste des fournisseurs participant au développement et à l'exploitation avec la nature des services correspond à la liste documentée des fournisseurs et partenaires.
S13.04,IMPORTANT_PR.AT-3.1,The organization shall establish and enforce security requirements for business-critical third-party providers and users.,tgv_plus_etroit,"La liste des exigences de sécurité, d'accès et de niveau de service par fournisseur alimente l'établissement des exigences de sécurité pour les tiers critiques."
S13.05,IMPORTANT_ID.SC-4.1,"The organization shall review assessments of suppliers’ and third-party partner’s compliance with contractual obligations by routinely reviewing audits, test results, and other evaluations.",tgv_plus_etroit,Les processus de surveillance de la conformité des fournisseurs aux exigences alimentent la revue des audits et évaluations de conformité des fournisseurs.
S13.06,IMPORTANT_ID.SC-3.1,"Based on the results of the cyber supply chain risk assessment, a contractual framework for suppliers and external partners shall be established to address sharing of sensitive information and distributed and interconnected ICT/OT products and services.",tgv_plus_etroit,Les ententes contractuelles avec chaque fournisseur alimentent le cadre contractuel établi pour les fournisseurs et partenaires externes.
S14.01,PR.AT-3.4,The organization shall audit business-critical external service providers for security compliance.,recoupement_partiel,L'évaluation régulière de la performance des fournisseurs alimente l'audit de conformité de sécurité des prestataires externes critiques.
S14.03,BASIC_RS.RP-1.1,"An incident response process, including roles, responsibilities, and authorities, shall be executed during or after an information/cybersecurity event on the organization's critical systems.",recoupement_partiel,Le processus de gestion des incidents arrimé avec celui des clients alimente le processus de réponse aux incidents exécuté lors d'un événement.
S14.04,IMPORTANT_RS.CO-3.2,The organization shall share information/cybersecurity incident information with relevant stakeholders as foreseen in the incident response plan.,tgv_plus_etroit,L'avertissement des clients de tout incident sur les données selon un processus établi alimente le partage de l'information d'incident avec les parties prenantes.
S15.01,IMPORTANT_RS.CO-4.1,The organization shall coordinate information/cybersecurity incident response actions with all predefined stakeholders.,recoupement_partiel,L'engagement à collaborer avec les clients pour la prise en charge d'un incident alimente la coordination de la réponse aux incidents avec les parties prenantes.
S15.03,BASIC_RC.RP-1.1,A recovery process for disasters and information/cybersecurity incidents shall be developed and executed as appropriate.,tgv_plus_etroit,Les mécanismes de plan de reprise alimentent le processus de récupération développé et exécuté pour les sinistres et incidents.
S15.04,IMPORTANT_PR.IP-9.1,"Incident response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) shall be established, maintained, approved, and tested to determine the effectiveness of the plans, and the readiness to execute the plans.",tgv_plus_etroit,Le plan de continuité des activités alimente l'établissement des plans de réponse et de récupération incluant la continuité des affaires.
S15.05,IMPORTANT_PR.IP-9.1,"Incident response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) shall be established, maintained, approved, and tested to determine the effectiveness of the plans, and the readiness to execute the plans.",tgv_plus_etroit,Le plan de recouvrement après sinistre chapeautant les infrastructures alimente l'établissement des plans de récupération après sinistre.
S16.01,IMPORTANT_PR.IP-9.1,"Incident response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) shall be established, maintained, approved, and tested to determine the effectiveness of the plans, and the readiness to execute the plans.",recoupement_partiel,Le test périodique du plan de reprise pour vérifier son efficacité alimente le test des plans de réponse et de récupération.
S16.02,IMPORTANT_DE.CM-8.1,The organization shall monitor and scan for vulnerabilities in its critical systems and hosted applications ensuring that system functions are not adversely impacted by the scanning process.,recoupement_partiel,La stratégie de validation de la conformité technique des composantes alimente la surveillance et l'analyse des vulnérabilités des systèmes critiques.
S16.03,ID.RA-1.3,"To ensure that organization's operations are not adversely impacted by the testing process, performance/load testing and penetration testing on the organization’s systems shall be conducted with care.",tgv_plus_etroit,Le test d'intrusion administré par un prestataire indépendant alimente la conduite maîtrisée de tests d'intrusion sur les systèmes de l'organisation.
